transaction_id,block_height,block_hash,prev_block_hash,transaction_type,timestamp,amount,user,email,notes,voucher_code,zakat_type_id,zakat_type_name,recipient_id,disbursement_type,signatures
tx90f92f3a,1,110aae1195aca26f0174f2236cea640f21024d108d5a5d98a81d89dc185d41f7,aeebad4a796fcc2e15dc4c6061b45ed9b373f26adfc798ca7d2d8cc58182718e,IN,2025-04-09 10:38:22,150.0,Siti,,,f513327e-c187-4a55-86d4-6bf101b19e3e,1,Zakat Pendapatan,,,"{""validator_1"": ""1467069e886ab72c"", ""validator_2"": ""89760f326d94c2d1"", ""timestamp"": ""2025-04-09T10:38:22.350562""}"
tx333e69bc,3,fc13f280e77104f974b8f326a36d723b326499c3a0c348f887c75bddbb4ad339,918bd880baa9cdf8ac3c5e2aa2208eb254a75e6c5919d2c9d8c8556144f6c49c,IN,2025-04-09 10:41:42,500.0,Kira,,,ab159964-5841-449a-a714-f664e4c68c1d,3,Zakat Simpanan,,,"{""validator_1"": ""03326f43e4fb8da4"", ""validator_2"": ""1ac9e574e2d10460"", ""timestamp"": ""2025-04-09T10:41:42.058778""}"
txe645a45e,4,ad5309c75eab2478613984b5d60861e6d0a01039c9b4609c79e965f908a4cfcf,fc13f280e77104f974b8f326a36d723b326499c3a0c348f887c75bddbb4ad339,IN,2025-04-09 10:41:50,120.0,Zara,,,fb6b5d71-8e84-4742-9c65-daf24c0085ab,2,Zakat Perniagaan,,,"{""validator_1"": ""c147ac634d901e15"", ""validator_2"": ""a3d595de239e1708"", ""timestamp"": ""2025-04-09T10:41:50.975233""}"
tx2192c1a1,5,6b40f12f5d6c62e5b5616726943ca758505a1884f5673c503a6bf7764f6c7f32,ad5309c75eab2478613984b5d60861e6d0a01039c9b4609c79e965f908a4cfcf,IN,2025-04-09 10:42:00,250.0,Jiba,,,6c466424-e80e-4661-aaaf-783765393d91,3,Zakat Simpanan,,,"{""validator_1"": ""7e04d1bd5d2e3d72"", ""validator_2"": ""b57cf22c96ea3678"", ""timestamp"": ""2025-04-09T10:42:00.524235""}"
tx897e29a3,6,6c0cfc0c368ebd5651157b45eecae7fe695c0c50a19cd9b0576641403582ef2b,6b40f12f5d6c62e5b5616726943ca758505a1884f5673c503a6bf7764f6c7f32,OUT,2025-04-09 11:16:37,498.0,Recipient 1 (Fakir),,AI Disbursement to Fakir,ab159964-5841-449a-a714-f664e4c68c1d,1,Zakat Pendapatan,RCP001,AI,"{""validator_1"": ""14836efc60b5ee12"", ""validator_2"": ""3d8e83b2474d2977"", ""timestamp"": ""2025-04-09T11:16:37.417497""}"
tx37cb447d,7,20364c8e93452a7039f98fa06f5481a105b3b66c936d1f249acf3a59896216c0,6c0cfc0c368ebd5651157b45eecae7fe695c0c50a19cd9b0576641403582ef2b,IN,2025-04-09 11:42:48,500.0,Ali Bin Abu,aba@gmail.com,,08aeb973-50b7-4ec0-8c82-787f4b8444ab,2,Zakat Perniagaan,,,"{""validator_1"": ""8202a1715fc9ffb6"", ""validator_2"": ""7e10e5f3dd71e71e"", ""timestamp"": ""2025-04-09T11:42:48.859857""}"
txaea3cd17,8,1d1c05cf29075cffcc3ffbb06a2034fd5bbdc8ae6488e3e1a668af2cf55c4a7d,20364c8e93452a7039f98fa06f5481a105b3b66c936d1f249acf3a59896216c0,OUT,2025-04-09 11:43:12,498.0,Recipient 1 (Fakir),,AI Disbursement to Fakir,08aeb973-50b7-4ec0-8c82-787f4b8444ab,1,Zakat Pendapatan,RCP001,AI,"{""validator_1"": ""121749b73ae95881"", ""validator_2"": ""8cdeae12558c96e0"", ""timestamp"": ""2025-04-09T11:43:12.502822""}"
txaba7f604,9,e031d5fa627e41f39004148a781dc6a8eab4fa034324a7e0db02ead2b2be702e,1d1c05cf29075cffcc3ffbb06a2034fd5bbdc8ae6488e3e1a668af2cf55c4a7d,IN,2025-04-09 11:44:02,1020.0,,,,d4294503-10ed-4fa5-afa6-49e6044abcaf,1,Zakat Pendapatan,,,"{""validator_1"": ""25afed9199262fa6"", ""validator_2"": ""6afd1a389991f11e"", ""timestamp"": ""2025-04-09T11:44:02.547942""}"
txe37cc4ad,10,1e9d5ea290460c0e916c5d0d8bfb8eddb2a7b9f98b03b0d27bc8000450d051f0,e031d5fa627e41f39004148a781dc6a8eab4fa034324a7e0db02ead2b2be702e,OUT,2025-04-09 11:44:22,807.0,Recipient 2 (Miskin),,AI Disbursement to Miskin,d4294503-10ed-4fa5-afa6-49e6044abcaf,1,Zakat Pendapatan,RCP002,AI,"{""validator_1"": ""80a38e388c45ee75"", ""validator_2"": ""a037e77c797eca83"", ""timestamp"": ""2025-04-09T11:44:22.697640""}"
tx3a91b0c4,11,997d18b71a28a465a0d082ec419bd764b2dab69435b3c5142da284e6911486ab,1e9d5ea290460c0e916c5d0d8bfb8eddb2a7b9f98b03b0d27bc8000450d051f0,IN,2025-04-09 11:46:51,3000.0,Bubu,bubu@yahoo.com,,35d1f5be-0a35-487b-a545-5a532b746ec7,2,Zakat Perniagaan,,,"{""validator_1"": ""841905f3926f0644"", ""validator_2"": ""5451fe925c8001c0"", ""timestamp"": ""2025-04-09T11:46:51.055641""}"
txb6a2c1d4,12,4adb23989a0289b26680f16ac089e63c3551e94f80ef1759dfbb122befb8af23,997d18b71a28a465a0d082ec419bd764b2dab69435b3c5142da284e6911486ab,IN,2025-04-09 11:47:02,3400.0,Aji,,,4d584faf-2860-43a5-8be4-b745327e1290,2,Zakat Perniagaan,,,"{""validator_1"": ""cbc228e43234c072"", ""validator_2"": ""eabf408bf1bd21f6"", ""timestamp"": ""2025-04-09T11:47:02.824759""}"
tx4e0be208,13,59a17e3174d5ebbf2eee1e7b6b4082c4b0a708dc8506d2527c3eba17296b7de1,4adb23989a0289b26680f16ac089e63c3551e94f80ef1759dfbb122befb8af23,IN,2025-04-09 11:47:22,2000.0,Orang Kaya,,,08dddba6-1901-42dd-a694-e1d1b37fa5fa,3,Zakat Simpanan,,,"{""validator_1"": ""fdd00207084bf019"", ""validator_2"": ""ae6a67c7f9131656"", ""timestamp"": ""2025-04-09T11:47:22.116747""}"
txddbe841b,14,45d6281e02fe60137000f17559a7568b97073b8f6a379b55df5588a7e9a59696,59a17e3174d5ebbf2eee1e7b6b4082c4b0a708dc8506d2527c3eba17296b7de1,OUT,2025-04-09 11:47:44,1153.5,Recipient 1 (Fakir),,AI Disbursement to Fakir,35d1f5be-0a35-487b-a545-5a532b746ec7,1,Zakat Pendapatan,RCP001,AI,"{""validator_1"": ""caa0755f51fdbd90"", ""validator_2"": ""82b2315e27c645ba"", ""timestamp"": ""2025-04-09T11:47:44.814321""}"
tx31e7d5f9,15,1835a5f32c614a15ff84a8c22b2f27d142f216cfffd5892fff31277df59ad229,45d6281e02fe60137000f17559a7568b97073b8f6a379b55df5588a7e9a59696,OUT,2025-04-09 11:47:44,807.0,Recipient 2 (Miskin),,AI Disbursement to Miskin,35d1f5be-0a35-487b-a545-5a532b746ec7,1,Zakat Pendapatan,RCP002,AI,"{""validator_1"": ""a1c6356d2167691a"", ""validator_2"": ""8c109255095ad853"", ""timestamp"": ""2025-04-09T11:47:44.816751""}"
tx9ab3497b,16,6d203c7491e834181a29d84ce1924a401bec5979333d4456ebf51f774eedab0d,1835a5f32c614a15ff84a8c22b2f27d142f216cfffd5892fff31277df59ad229,OUT,2025-04-09 11:47:44,498.0,Recipient 3 (Riqab),,AI Disbursement to Riqab,35d1f5be-0a35-487b-a545-5a532b746ec7,1,Zakat Pendapatan,RCP003,AI,"{""validator_1"": ""2c9e6a9fee59bec6"", ""validator_2"": ""0d7ae00649950837"", ""timestamp"": ""2025-04-09T11:47:44.818186""}"
tx61273baa,17,2961bfd9bee2aebd4616ff67755c1ded3934a47ca9c4390a7e475ef8bcfb7643,6d203c7491e834181a29d84ce1924a401bec5979333d4456ebf51f774eedab0d,OUT,2025-04-09 11:47:44,498.0,Recipient 3 (Riqab),,AI Disbursement to Riqab,35d1f5be-0a35-487b-a545-5a532b746ec7,1,Zakat Pendapatan,RCP003,AI_TNG,"{""validator_1"": ""b2445d76e0a8ea77"", ""validator_2"": ""8f1d6c824fe21ed4"", ""timestamp"": ""2025-04-09T11:47:44.821183""}"
tx82642c42,18,ee846898328ed3122fe195dedc24547cbc43ae1b167da16810f27af4858a7212,2961bfd9bee2aebd4616ff67755c1ded3934a47ca9c4390a7e475ef8bcfb7643,OUT,2025-04-09 11:49:08,1153.5,Recipient 1 (Fakir),,AI Disbursement to Fakir,4d584faf-2860-43a5-8be4-b745327e1290,1,Zakat Pendapatan,RCP001,AI,"{""validator_1"": ""a80b8d2867c5c2cc"", ""validator_2"": ""5993a47164d6469b"", ""timestamp"": ""2025-04-09T11:49:08.334495""}"
tx482ebccb,19,7da2daa1c2bcb356058a8ab0cca049ef90af524b94eabec123e05fadecd3677f,ee846898328ed3122fe195dedc24547cbc43ae1b167da16810f27af4858a7212,OUT,2025-04-09 11:49:08,807.0,Recipient 2 (Miskin),,AI Disbursement to Miskin,4d584faf-2860-43a5-8be4-b745327e1290,1,Zakat Pendapatan,RCP002,AI,"{""validator_1"": ""609f54f4febc917b"", ""validator_2"": ""79b02493d09cc2d3"", ""timestamp"": ""2025-04-09T11:49:08.336889""}"
tx48ee7889,20,0e542d871d3f8f683ae883dd8edf993e5d69d92478e488956b75be21762f748b,7da2daa1c2bcb356058a8ab0cca049ef90af524b94eabec123e05fadecd3677f,OUT,2025-04-09 11:49:08,498.0,Recipient 3 (Riqab),,AI Disbursement to Riqab,4d584faf-2860-43a5-8be4-b745327e1290,1,Zakat Pendapatan,RCP003,AI,"{""validator_1"": ""c78e9e6d8d82cc7d"", ""validator_2"": ""975462737a4067e4"", ""timestamp"": ""2025-04-09T11:49:08.338693""}"
